"metric","count","denominator","percentage","status"
"extraction.page_success","11","11","100","measured"
"extraction.routing_accuracy","11","11","100","measured"
"extraction.material_correction_pages","1","11","9.09","measured"
"questions.deterministic_grounding","12","12","100","measured"
"questions.deterministic_key_validity","12","12","100","measured"
"questions.duplicates","2","12","16.67","measured"
"questions.human_accepted","0","0","","pending_human_review"
"questions.human_grounded_accepted","0","0","","pending_human_review"
"questions.human_correct_keys","0","0","","pending_human_review"
"questions.human_ambiguous","0","0","","pending_human_review"
"written.exact_agreement","0","0","","pending_human_review"
"written.within_one_mark","0","0","","pending_human_review"
"written.status_agreement","0","0","","pending_human_review"
"reliability.first_pass_valid","8","45","17.78","measured"
"reliability.final_valid","12","45","26.67","measured"
"reliability.repair_rate","5","45","11.11","measured"
"reliability.repair_success","4","5","80","measured"
"adaptive.valid","0","9","0","measured"
"baseline.parse_success","5","5","100","measured"
"baseline.evidence_transparency","26","26","100","measured"
