"metric","count","denominator","percentage","status"
"extraction.page_success","12","12","100","measured"
"extraction.routing_accuracy","12","12","100","measured"
"extraction.material_correction_pages","2","12","16.67","measured"
"questions.deterministic_grounding","18","18","100","measured"
"questions.deterministic_key_validity","18","18","100","measured"
"questions.duplicates","1","18","5.56","measured"
"questions.human_accepted","0","0","","pending_human_review"
"questions.human_grounded_accepted","0","0","","pending_human_review"
"questions.human_correct_keys","0","0","","pending_human_review"
"questions.human_ambiguous","0","0","","pending_human_review"
"written.exact_agreement","0","0","","pending_human_review"
"written.within_one_mark","0","0","","pending_human_review"
"written.status_agreement","0","0","","pending_human_review"
"reliability.first_pass_valid","26","48","54.17","measured"
"reliability.final_valid","34","48","70.83","measured"
"reliability.repair_rate","18","48","37.5","measured"
"reliability.repair_success","8","18","44.44","measured"
"adaptive.valid","1","6","16.67","measured"
"baseline.parse_success","8","8","100","measured"
"baseline.evidence_transparency","38","38","100","measured"
